P;34126899203300;LucasLima
P;34126901016300;CamilaFreitas
P;34126902098600;LetíciaCampos
P;34126903153700;CamilaCardoso
P;34126904266000;ThiagoBarros
P;34126905330800;BrunoSilva
P;34126906404300;PedroMartins
P;34126907469900;GustavoPereira
P;34126908547000;LetíciaSilva
P;34126909626500;MarianaSouza
R;34126904266000;34126902098600;9
R;34126902098600;34126901016300;1
R;34126901016300;34126906404300;9
R;34126901016300;34126909626500;9
R;34126901016300;34126905330800;4
R;34126904266000;34126908547000;2
R;34126905330800;34126907469900;6
R;34126907469900;34126906404300;1
R;34126902098600;34126906404300;10
R;34126904266000;34126905330800;7
R;34126903153700;34126908547000;6
R;34126907469900;34126908547000;8
R;34126899203300;34126902098600;5
R;34126904266000;34126901016300;8
R;34126905330800;34126903153700;10
